framework,control_id,control_ref,control_family,rule_id,name,domain,severity,evidence_mode,evidence_type,path
CCPA,1798.100,CCPA 1798.100,CCPA 1798 Consumer Privacy Rights,compliance-data-inventory-maintained,Data Inventory Maintained,compliance,medium,cel,control_procedure,policies/compliance/compliance-data-inventory.yaml
CCPA,1798.105,CCPA 1798.105,CCPA 1798 Consumer Privacy Rights,ai-data-retention-reviewed,AI Data Retention Reviewed,ai,medium,cel,ai_governance,policies/ai/ai-data-retention-reviewed.yaml
CCPA,1798.130,CCPA 1798.130,CCPA 1798 Consumer Privacy Rights,compliance-data-inventory-maintained,Data Inventory Maintained,compliance,medium,cel,control_procedure,policies/compliance/compliance-data-inventory.yaml
CCPA,1798.150,CCPA 1798.150,CCPA 1798 Consumer Privacy Rights,compliance-ir-gdpr-addendum,Incident Response Plan GDPR Addendum,compliance,high,query,control_procedure,policies/compliance/compliance-ir-gdpr-addendum.yaml
CIS AWS Foundations Benchmark v2.0,1.10,CIS AWS Foundations Benchmark v2.0 1.10,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,aws-iam-password-policy,IAM Password Policy Requirements,aws,medium,cel,cloud_configuration,policies/aws/aws-iam-password-policy.yaml
CIS AWS Foundations Benchmark v2.0,1.12,CIS AWS Foundations Benchmark v2.0 1.12,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,aws-iam-user-console-inactive,IAM User Console Inactive,aws,medium,cel,cloud_configuration,policies/aws/aws-iam-user-console-inactive.yaml
CIS AWS Foundations Benchmark v2.0,1.12,CIS AWS Foundations Benchmark v2.0 1.12,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,aws-iam-user-unused-credentials,IAM User Unused Credentials,aws,medium,cel,cloud_configuration,policies/aws/aws-iam-user-unused-credentials.yaml
CIS AWS Foundations Benchmark v2.0,1.13,CIS AWS Foundations Benchmark v2.0 1.13,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,aws-iam-single-access-key,IAM Users Have Single Active Access Key,aws,medium,cel,cloud_configuration,policies/aws/aws-iam-single-access-key.yaml
CIS AWS Foundations Benchmark v2.0,1.14,CIS AWS Foundations Benchmark v2.0 1.14,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,aws-iam-access-key-rotation,IAM Access Key Rotation,aws,medium,cel,cloud_configuration,policies/aws/aws-iam-access-key-old.yaml
CIS AWS Foundations Benchmark v2.0,1.15,CIS AWS Foundations Benchmark v2.0 1.15,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,aws-iam-no-policies-attached-user,IAM Policies Attached to Groups Not Users,aws,low,cel,cloud_configuration,policies/aws/aws-iam-no-policies-attached-user.yaml
CIS AWS Foundations Benchmark v2.0,1.15,CIS AWS Foundations Benchmark v2.0 1.15,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,aws-iam-users-via-groups,IAM Users Receive Permissions Only Through Groups,aws,low,cel,cloud_configuration,policies/aws/aws-iam-users-via-groups.yaml
CIS AWS Foundations Benchmark v2.0,1.16,CIS AWS Foundations Benchmark v2.0 1.16,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,aws-ec2-iam-instance-profile,EC2 Instances Use IAM Instance Profiles,aws,medium,cel,cloud_configuration,policies/aws/aws-ec2-iam-roles.yaml
