match_type,match_value,resolved_domain
finding,cerebro-high-risk-api-access,api
finding,slack-admin-without-sso,collaboration
finding,slack-app-bot-token-unreviewed,collaboration
finding,slack-external-shared-channel-unreviewed,collaboration
finding,slack-guest-user-no-expiry,collaboration
finding,vendor-dpa-exists,vendor
pack,anthropic,secrets
pack,archetype,vulnerability
pack,aurelius,vulnerability
pack,backstage,org
pack,cloudflare,network
pack,cosmo,integration
pack,data,dspm
pack,duo,identity
pack,email_domain,network
pack,evidence_cas,compliance
pack,grc,grc
pack,kandji,endpoint
pack,kolide,endpoint
pack,openai,secrets
pack,pagerduty,incident_response
pack,panopticon,incident_response
pack,sdk,integration
pack,security_reviewer,cicd
pack,security_tooling_map,grc
pack,slack,collaboration
pack,tailscale,network
pack,trivy,vulnerability
pack,trusted_endpoint,endpoint
pack,vulnview,vulnerability
source,asset,dspm
source,graph,grc
tag,api-key,secrets
tag,credential,secrets
tag,endpoint,endpoint
tag,evidence-cas,compliance
tag,incident-response,incident_response
tag,integration,integration
tag,mfa,identity
tag,security-operations,incident_response
tag,vulnerability,vulnerability
