framework,control_id,control_ref,control_family,direct_finding_count,source_backed_finding_count,source_matched_finding_count,source_capability_refs,review_area_refs,outbound_relationship_refs,inbound_relationship_refs,enrichment_status,sample_direct_finding_ids,sample_source_backed_finding_ids
ccpa,1798.100,ccpa 1798.100,CCPA 1798 Consumer Privacy Rights,1,0,0,,,,,direct_control_only,compliance-data-inventory-maintained,
ccpa,1798.105,ccpa 1798.105,CCPA 1798 Consumer Privacy Rights,1,0,0,,,,,direct_control_only,ai-data-retention-reviewed,
ccpa,1798.106,ccpa 1798.106,CCPA 1798 Consumer Privacy Rights,0,0,0,,,,,framework_catalog_only,,
ccpa,1798.110,ccpa 1798.110,CCPA 1798 Consumer Privacy Rights,0,0,0,,,,,framework_catalog_only,,
ccpa,1798.115,ccpa 1798.115,CCPA 1798 Consumer Privacy Rights,0,0,0,,,,,framework_catalog_only,,
ccpa,1798.120,ccpa 1798.120,CCPA 1798 Consumer Privacy Rights,0,0,0,,,,,framework_catalog_only,,
ccpa,1798.121,ccpa 1798.121,CCPA 1798 Consumer Privacy Rights,0,0,0,,,,,framework_catalog_only,,
ccpa,1798.125,ccpa 1798.125,CCPA 1798 Consumer Privacy Rights,0,0,0,,,,,framework_catalog_only,,
ccpa,1798.130,ccpa 1798.130,CCPA 1798 Consumer Privacy Rights,1,0,0,,,,,direct_control_only,compliance-data-inventory-maintained,
ccpa,1798.135,ccpa 1798.135,CCPA 1798 Consumer Privacy Rights,0,0,0,,,,,framework_catalog_only,,
ccpa,1798.150,ccpa 1798.150,CCPA 1798 Consumer Privacy Rights,1,0,0,,,,,direct_control_only,compliance-ir-gdpr-addendum,
cerebroaigovernance,AI-1,cerebroaigovernance AI-1,Cerebro AI Governance AI AI Governance Controls,0,0,0,,,,,framework_catalog_only,,
cerebroaigovernance,AI-2,cerebroaigovernance AI-2,Cerebro AI Governance AI AI Governance Controls,0,0,0,,,,,framework_catalog_only,,
cerebroaigovernance,AI-3,cerebroaigovernance AI-3,Cerebro AI Governance AI AI Governance Controls,1,0,0,,,,,direct_control_only,ml-model-untrusted-source,
cerebroaigovernance,AI-4,cerebroaigovernance AI-4,Cerebro AI Governance AI AI Governance Controls,1,0,0,,,,,direct_control_only,aws-bedrock-model-no-guardrails,
cerebroaigovernance,AI-5,cerebroaigovernance AI-5,Cerebro AI Governance AI AI Governance Controls,1,0,0,,,,,direct_control_only,aws-bedrock-model-no-guardrails,
cerebrofinancialcontrols,FIN-1,cerebrofinancialcontrols FIN-1,Cerebro Financial Controls FIN Financial Controls,1,0,0,,,,,direct_control_only,same-user-approve-execute,
cerebrofinancialcontrols,FIN-2,cerebrofinancialcontrols FIN-2,Cerebro Financial Controls FIN Financial Controls,1,0,0,,,,,direct_control_only,contract-billing-mismatch,
cerebrofinancialcontrols,FIN-3,cerebrofinancialcontrols FIN-3,Cerebro Financial Controls FIN Financial Controls,2,0,0,,,,,direct_control_only,hubspot-excessive-discount; stripe-large-refund,
cerebrooperationalresilience,OPS-1,cerebrooperationalresilience OPS-1,Cerebro Operational Resilience OPS Operational Resilience Controls,0,0,0,,,,,framework_catalog_only,,
cerebrooperationalresilience,OPS-2,cerebrooperationalresilience OPS-2,Cerebro Operational Resilience OPS Operational Resilience Controls,7,0,0,,,,,direct_control_only,k8s-deployment-multiple-replicas; k8s-pod-liveness-probe-required; k8s-pod-readiness-probe-required; k8s-pod-resource-limits; resolution-time-breach; uptime-breach-enterprise; zendesk-sla-breach,
cerebrooperationalresilience,OPS-3,cerebrooperationalresilience OPS-3,Cerebro Operational Resilience OPS Operational Resilience Controls,0,0,0,,,,,framework_catalog_only,,
cerebroorganizationalresilience,ORG-1,cerebroorganizationalresilience ORG-1,Cerebro Organizational Resilience ORG Organizational Resilience Controls,3,0,0,,,,,direct_control_only,org-bottleneck-critical; org-bus-factor-critical; org-tenure-risk,
cerebroorganizationalresilience,ORG-2,cerebroorganizationalresilience ORG-2,Cerebro Organizational Resilience ORG Organizational Resilience Controls,4,0,0,,,,,direct_control_only,org-customer-relationship-health-low; org-customer-topology-churn-risk; org-customer-touchpoints-low; org-relationship-decay-customer,
cerebroorganizationalresilience,ORG-3,cerebroorganizationalresilience ORG-3,Cerebro Organizational Resilience ORG Organizational Resilience Controls,2,0,0,,,,,direct_control_only,org-bottleneck-critical; org-silo-shared-dependency,
cerebroorganizationalresilience,ORG-4,cerebroorganizationalresilience ORG-4,Cerebro Organizational Resilience ORG Organizational Resilience Controls,2,0,0,,,,,direct_control_only,org-bus-factor-critical; org-tenure-risk,
